AGE1,BURDEN,FMR,FMTBEDRMS,FMTBUILT,TOTSAL
17,0.8387234043,1090,'4 4BR+','2000-2009',37400
55,0.051765584,1090,'4 4BR+','1980-1989',81000
35,0.22521428570000002,882,'3 3BR','2000-2009',62000
-9,-9.0,882,'3 3BR','2000-2009',-9
-9,-9.0,961,'4 4BR+','2000-2009',-9
70,0.3268148148,1495,'3 3BR','1980-1989',0
35,0.11712,895,'1 1BR','1990-1999',50000
51,0.3292394366,738,'3 3BR','1980-1989',35500
-9,-9.0,797,'2 2BR','2000-2009',-9
31,0.18404558399999998,1042,'3 3BR','2000-2009',105000
40,0.2151428571,630,'2 2BR','2000-2009',70000
48,0.2896271186,658,'2 2BR','1980-1989',65000
31,0.177437604,992,'4 4BR+','2000-2009',180000
38,0.35396474780000003,1042,'3 3BR','2000-2009',58809
-9,-9.0,1169,'4 4BR+','2000-2009',-9
27,0.6249600000000001,797,'2 2BR','2000-2009',25000
33,0.2809937888,1042,'3 3BR','2000-2009',36000
33,0.3502375297,1036,'4 4BR+','1980-1989',25000
27,0.1596,616,'2 2BR','1980-1989',60000
64,0.33692307689999995,865,'3 3BR','1980-1989',27000
31,0.29616,1462,'3 3BR','2000-2009',75000
43,0.5669647059,1462,'3 3BR','2000-2009',76000
-9,-9.0,1462,'3 3BR','2000-2009',-9
78,0.28375,1069,'1 1BR','1980-1989',0
-9,-9.0,910,'3 3BR','2000-2009',-9
40,0.0982285714,724,'3 3BR','1990-1999',200000
23,0.26074074070000003,533,'1 1BR','2000-2009',40000
46,0.6687815767999999,883,'4 4BR+','1990-1999',25533
29,0.14262857140000001,674,'2 2BR','1980-1989',102000
37,0.12067620289999999,804,'2 2BR','2000-2009',60000
69,0.1513333333,970,'3 3BR','1980-1989',21000
43,0.5378479197,923,'4 4BR+','2000-2009',29500
53,0.1666542056,897,'3 3BR','2000-2009',107000
40,0.2044,883,'4 4BR+','2000-2009',90000
33,0.2295737705,1082,'3 3BR','1980-1989',122000
55,0.1167887324,1082,'3 3BR','1980-1989',71000
50,0.39390476189999996,977,'4 4BR+','2000-2009',54000
37,0.1267882397,1283,'4 4BR+','2000-2009',263000
58,0.2367402377,827,'2 2BR','2000-2009',58900
71,0.514137931,844,'3 3BR','1980-1989',0
