,AGE1,BURDEN,FMR,FMTBEDRMS,FMTBUILT,TOTSAL
328,65,0.1577351672,1843,'3 3BR','1980-1989',149400
329,40,0.4896365275,934,'3 3BR','2000-2009',20000
330,49,0.2874251497,934,'3 3BR','2000-2009',64000
331,35,0.0201213484,669,'2 2BR','2000-2009',103200
332,62,0.1296888889,1077,'3 3BR','1980-1989',87000
333,33,0.2578811043,1473,'4 4BR+','2000-2009',95000
334,74,0.1571770335,975,'2 2BR','2000-2009',0
335,58,0.0650162866,1058,'3 3BR','2000-2009',87000
336,37,0.2298597635,1249,'4 4BR+','2000-2009',100000
337,26,0.34432832280000003,976,'2 2BR','2000-2009',38000
338,32,0.6201964337,976,'2 2BR','2000-2009',21000
339,81,0.5637096774,976,'2 2BR','2000-2009',0
340,62,0.0803304985,976,'2 2BR','2000-2009',0
341,36,0.2260867391,1282,'3 3BR','2000-2009',80000
342,44,0.3558224048,765,'1 1BR','1980-1989',19000
343,72,0.1291982727,1290,'3 3BR','2000-2009',80000
344,65,0.2177415929,945,'2 2BR','2000-2009',40000
345,65,0.8341480862999999,1436,'4 4BR+','1980-1989',0
346,21,0.1191483985,769,'1 1BR','2000-2009',95000
347,23,0.42182121619999996,765,'1 1BR','1980-1989',19200
348,46,-1.0,1282,'3 3BR','2000-2009',0
349,43,0.1514831883,1474,'4 4BR+','2000-2009',177000
350,63,0.21459425210000002,1282,'3 3BR','2000-2009',44000
351,52,0.6589090909,888,'3 3BR','2000-2009',10000
352,42,0.079572907,1528,'4 4BR+','2000-2009',49000
353,-9,-9.0,730,'1 1BR','1980-1989',-9
354,50,0.1882815887,1528,'4 4BR+','2000-2009',120000
355,63,0.5568,915,'2 2BR','1980-1989',0
356,54,0.0586223742,730,'1 1BR','2000-2009',341943
357,65,0.143723355,1208,'3 3BR','1990-1999',43000
358,49,0.220315443,867,'3 3BR','2000-2009',52600
359,88,0.1825352113,907,'3 3BR','1980-1989',0
360,58,0.1099932931,2245,'4 4BR+','1980-1989',170000
361,42,0.09932518650000001,572,'1 1BR','1980-1989',87000
362,33,0.1716743922,907,'3 3BR','1990-1999',60000
363,56,0.0597072051,1243,'3 3BR','2000-2009',115000
364,42,0.2868494973,1436,'4 4BR+','2000-2009',107000
365,58,0.484771493,966,'2 2BR','2000-2009',30000
366,35,0.3620271674,966,'2 2BR','2000-2009',26000
367,34,0.2202762066,1436,'4 4BR+','2000-2009',91000
368,39,0.18046208579999998,969,'3 3BR','2000-2009',140000
369,37,0.9747747165999999,1445,'4 4BR+','2000-2009',30500
370,52,0.1141385209,1436,'4 4BR+','1980-1989',390443
371,44,0.0951358348,1528,'4 4BR+','2000-2009',0
372,58,0.2751939646,812,'3 3BR','1980-1989',52500
373,37,0.08651162789999998,956,'2 2BR','2000-2009',0
374,19,0.1483303456,652,'2 2BR','2000-2009',48000
375,69,0.3511203511,652,'2 2BR','2000-2009',0
376,38,0.3466908086,1282,'3 3BR','2000-2009',63000
377,80,0.5074569972,991,'4 4BR+','2000-2009',42000
378,37,0.3024203446,1214,'4 4BR+','2000-2009',40300
379,-9,-9.0,792,'2 2BR','2000-2009',-9
380,68,0.058008254800000006,949,'3 3BR','2000-2009',0
381,61,0.5105506947999999,949,'3 3BR','2000-2009',35000
382,80,0.4326213592,751,'2 2BR','2000-2009',0
383,45,0.2972366923,576,'1 1BR','1990-1999',29000
384,54,0.028336653700000002,755,'1 1BR','1980-1989',0
385,54,0.378763678,1058,'3 3BR','1980-1989',7000
386,-9,-9.0,1173,'3 3BR','1980-1989',-9
387,32,0.6063136796,1054,'1 1BR','1980-1989',12000
388,43,0.28084538870000003,1435,'4 4BR+','2000-2009',108000
389,28,0.1483250658,956,'2 2BR','1980-1989',98000
390,40,0.1751123873,1073,'3 3BR','1980-1989',85000
391,47,0.115774284,1002,'3 3BR','2000-2009',130000
392,65,0.24645568510000002,1195,'4 4BR+','2000-2009',180000
393,62,0.4130929204,1234,'4 4BR+','1980-1989',55000
394,-9,-9.0,1955,'3 3BR','1980-1989',-9
395,21,0.1859364072,518,'1 1BR','2000-2009',37200
396,27,0.1620972812,1037,'3 3BR','2000-2009',105000
